idEntrenador,Temporada,Equipo,PJ,PG,PE,PP
40,2017-18,126,29,10,8,11
40,2018-19,126,27,9,5,13
40,2019-20,35,20,6,4,10
40,2020-21,35,38,12,10,16
40,2021-22,35,17,2,6,9
41,1980-81,0,20,10,3,7
41,1980-81,0,6,2,2,2
41,1981-82,0,34,13,8,13
41,1982-83,0,34,17,6,11
41,1983-84,0,34,12,11,11
41,1984-85,0,34,9,7,18
41,1986-87,1,44,27,12,5
41,1987-88,1,38,28,6,4
41,1988-89,1,38,25,12,1
41,1989-90,0,34,19,11,4
41,1990-91,0,34,22,9,3
41,1991-92,0,6,5,1,0
41,1991-92,1,19,9,5,5
41,1996-97,0,20,9,6,5
41,1997-98,22,21,11,5,5
41,1998-99,22,34,25,5,4
41,1999-00,22,29,15,8,6
42,2011-12,0,17,6,7,4
42,2012-13,0,13,3,5,5
42,2012-13,0,5,2,1,2
42,2013-14,0,30,9,10,11
42,2014-15,308,34,17,7,10
42,2015-16,496,29,8,10,11
42,2016-17,66,22,11,5,6
42,2017-18,12,34,28,4,2
42,2018-19,12,34,27,4,3
42,2019-20,12,34,26,4,4
42,2020-21,12,34,24,8,2
42,2021-22,12,34,29,4,1
42,2022-23,12,34,27,4,3
42,2023-24,12,31,19,6,6
43,1990-91,199,34,6,17,11
43,1991-92,90,34,15,12,7
43,1992-93,90,9,2,2,5
43,1994-95,39,34,12,11,11
43,1995-96,39,34,17,8,9
43,1996-97,39,34,10,15,9
43,1997-98,25,35,16,7,12
43,1998-99,25,38,19,8,11
43,1999-00,24,26,8,6,12
43,2000-01,11,32,16,7,9
43,2001-02,11,38,17,13,8
43,2002-03,11,38,19,10,9
43,2003-04,11,38,24,7,7
43,2004-05,25,24,10,8,6
43,2006-07,333,16,7,6,3
43,2007-08,9,38,20,12,6
43,2008-09,9,36,19,11,6
43,2009-10,0,36,24,8,4
43,2010-11,0,25,11,6,8
43,2011-12,7,26,12,4,10
43,2013-14,28,38,23,11,4
43,2015-16,126,38,23,12,3
43,2016-17,126,25,5,6,14
43,2017-18,66,38,14,10,14
43,2018-19,0,16,3,3,10
43,2018-19,0,12,6,4,2
43,2019-20,42,31,11,6,14
43,2020-21,42,38,15,7,16
43,2021-22,0,13,2,1,10
43,2023-24,199,35,7,12,16
45,1997-98,33,23,8,7,8
45,1998-99,33,3,1,0,2
45,2009-10,151,19,13,4,2
45,2010-11,151,7,1,0,6
45,2020-21,55,10,1,2,7
46,2001-02,28,34,9,12,13
46,2002-03,28,38,19,10,9
46,2003-04,28,38,21,12,5
46,2004-05,28,38,15,18,5
46,2005-06,28,7,2,1,4
46,2009-10,17,38,23,9,6
46,2010-11,17,38,18,14,6
46,2011-12,17,38,12,12,14
47,2015-16,0,34,15,8,11
47,2016-17,0,34,18,8,8
47,2017-18,0,17,8,4,5
47,2017-18,0,16,12,2,2
47,2018-19,0,34,28,2,4
47,2019-20,0,25,18,2,5
47,2020-21,0,34,28,4,2
47,2021-22,0,34,26,5,3
47,2022-23,8,38,23,6,9
47,2023-24,8,34,15,6,13
48,1982-83,10,30,22,7,1
48,1983-84,10,30,24,4,2
48,1984-85,0,30,10,14,6
48,1985-86,0,30,19,3,8
48,1986-87,0,30,12,9,9
48,1987-88,39,30,9,10,11
48,1988-89,39,34,12,10,12
48,1989-90,10,34,23,9,2
48,1990-91,10,38,32,5,1
48,1991-92,10,34,17,12,5
48,1992-93,42,34,12,12,10
48,1993-94,42,34,18,8,8
48,1994-95,42,34,13,11,10
48,1995-96,42,34,14,10,10
48,1996-97,42,34,14,11,9
48,1997-98,99,34,16,8,10
48,1998-99,99,34,20,9,5
48,1999-00,99,34,21,9,4
48,2000-01,99,13,6,3,4
48,2007-08,15,38,15,10,13
49,1998-99,93,4,3,0,1
49,1999-00,93,34,13,8,13
49,2000-01,93,34,15,8,11
49,2001-02,93,34,17,5,12
49,2002-03,93,34,16,4,14
49,2003-04,93,34,22,8,4
49,2004-05,93,34,18,5,11
49,2005-06,93,34,21,7,6
49,2006-07,93,34,20,6,8
49,2007-08,93,34,20,6,8
49,2008-09,93,34,12,9,13
49,2009-10,93,34,17,10,7
49,2010-11,93,34,10,11,13
49,2011-12,93,34,11,9,14
49,2012-13,93,33,8,10,15
49,2014-15,41,34,11,10,13
49,2015-16,0,11,1,0,10
49,2020-21,93,1,0,0,1
50,2007-08,60,38,22,9,7
50,2008-09,60,38,24,8,6
50,2009-10,60,38,19,7,12
50,2013-14,0,38,27,8,3
50,2014-15,0,38,24,11,3
50,2015-16,0,38,30,6,2
50,2022-23,46,28,14,6,8
50,2023-24,46,4,0,1,3
51,2002-03,0,38,19,9,10
51,2003-04,105,38,15,11,12
51,2004-05,105,38,14,9,15
51,2006-07,0,38,12,13,13
51,2007-08,0,38,13,9,16
51,2009-10,47,20,7,5,8
51,2012-13,25,24,14,5,5
51,2013-14,105,38,20,10,8
51,2014-15,105,38,15,10,13
51,2015-16,105,38,18,8,12
51,2016-17,105,38,19,6,13
51,2017-18,5,38,28,9,1
51,2018-19,5,38,26,9,3
51,2019-20,5,19,12,4,3
51,2022-23,105,38,14,9,15
51,2023-24,105,34,17,10,7
52,2008-09,0,19,9,5,5
52,2009-10,0,38,11,11,16
52,2010-11,0,38,15,4,19
52,2011-12,0,38,12,10,16
52,2012-13,0,13,2,3,8
52,2012-13,0,16,4,7,5
52,2013-14,0,38,15,11,12
52,2014-15,33,38,19,7,12
52,2015-16,33,38,19,13,6
52,2016-17,33,38,26,8,4
52,2017-18,33,38,23,8,7
52,2018-19,33,38,23,2,13
52,2019-20,33,12,3,5,4
52,2020-21,0,21,15,2,4
52,2021-22,0,38,26,8,4
52,2023-24,11,33,14,9,10
53,1973-74,80,15,5,5,5
53,1981-82,19,34,18,12,4
53,1982-83,19,34,20,12,2
53,1983-84,19,34,21,6,7
53,1984-85,19,34,14,9,11
53,1985-86,19,34,17,5,12
53,1986-87,19,34,19,9,6
54,1999-00,0,34,27,3,4
54,2000-01,0,34,25,8,1
54,2001-02,0,34,20,8,6
54,2002-03,124,31,10,9,12
54,2003-04,124,18,5,3,10
54,2003-04,122,7,3,2,2
54,2004-05,122,34,15,3,16
54,2006-07,50,34,15,11,8
54,2007-08,17,29,16,7,6
