idPartido,Temporada,Ronda,Local,Visitante,Evento,GolesLocal,GolesVisitante,VictoriaLocal,Empate,VictoriaVisitante,%_Victorias_Local,%_Empate,%_Victoria_Visitante,%_Equipo1_Ganado,%_Equipo2_Ganado,%_1_G_Temporada,%_1_G_Temporada_L,%_1_E_Temporada_L,%_1_P_Temporada_L,1_Media_G,1_Media_G_Local,1_Media_Goles_PP,1_ValorJugadores,1_MediaJugadores,%_2_G_Temporada,%_2_G_Temporada_L,%_2_E_Temporada_L,%_2_P_Temporada_L,2_Media_G,2_Media_G_Local,2_Media_Goles_PP,2_ValorJugadores,2_MediaJugadores
43,2023-01-01,Group stage,16,24,Celtic Park,2,2,0,1,0,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,0.6,377.1195097037794,16.39650042190345,55.56,80.0,0.0,20.0,0.56,0.8,2.33,677.9366700715015,30.815303185068252
44,2023-01-01,Group stage,307,14,St James' Park,0,1,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,1.2,385.64862104187944,16.76733134964693,36.36,50.0,50.0,0.0,0.36,0.5,1.27,642.4923391215527,27.934449527024032
45,2023-01-01,Group stage,191,12,Bosuilstadion,1,4,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,1.0,371.4504596527068,18.57252298263534,71.43,75.0,0.0,25.0,0.71,0.75,1.71,533.2482124616955,21.329928498467822
46,2023-01-01,Group stage,67,15,Stadion Wankdorf,1,3,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,50.0,0.0,50.0,0.2,0.5,1.2,357.5076608784474,15.54381134254119,77.78,80.0,0.0,20.0,0.78,0.8,2.78,748.7742594484166,29.950970377936663
47,2023-01-01,Group stage,28,2,Parc des Princes,3,0,1,0,0,100.0,0.0,0.0,0.0,100.0,36.36,40.0,40.0,20.0,0.36,0.4,1.45,698.6210418794687,33.267668660927086,40.0,33.33,33.33,33.33,0.4,0.33,1.0,377.7323799795709,16.42314695563352
48,2023-01-01,Group stage,68,20,Red Bull Arena,3,1,1,0,0,0.0,0.0,100.0,100.0,0.0,42.86,33.33,0.0,66.67,0.43,0.33,1.57,497.8038815117466,21.643647022249855,0.0,0.0,33.33,66.67,0.0,0.0,1.2,374.8212461695607,17.03732937134367
49,2023-01-01,Group stage,14,307,Signal Iduna Park,2,0,1,0,0,0.0,0.0,100.0,100.0,0.0,36.36,40.0,60.0,0.0,0.36,0.4,1.18,642.4923391215527,27.934449527024032,20.0,33.33,0.0,66.67,0.2,0.33,1.2,385.64862104187944,16.76733134964693
50,2023-01-01,Group stage,92,5,Volksparkstadion,1,0,1,0,0,57.14,0.0,42.86,28.57,71.43,40.0,50.0,0.0,50.0,0.4,0.5,1.8,364.0960163432073,17.33790554015273,66.67,80.0,0.0,20.0,0.67,0.8,2.22,676.8130745658835,27.072522982635345
51,2023-01-01,Group stage,15,67,Etihad Stadium,3,0,1,0,0,0.0,0.0,100.0,100.0,0.0,77.78,75.0,0.0,25.0,0.78,0.75,2.78,748.7742594484166,29.950970377936663,20.0,33.33,0.0,66.67,0.2,0.33,1.4,357.5076608784474,15.54381134254119
52,2023-01-01,Group stage,12,191,Estádio Do Dragão,2,0,1,0,0,0.0,0.0,100.0,100.0,0.0,71.43,66.67,0.0,33.33,0.71,0.67,2.0,533.2482124616955,21.329928498467822,20.0,33.33,0.0,66.67,0.2,0.33,1.2,371.4504596527068,18.57252298263534
53,2023-01-01,Group stage,20,68,Stadion Rajko Mitić,1,2,0,0,1,100.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,50.0,0.0,0.0,1.2,374.8212461695607,17.03732937134367,42.86,50.0,0.0,50.0,0.43,0.5,1.71,497.8038815117466,21.643647022249855
54,2023-01-01,Group stage,2,28,Stadio Giuseppe Meazza,2,1,1,0,0,100.0,0.0,0.0,0.0,100.0,20.0,0.0,50.0,50.0,0.2,0.0,0.6,377.7323799795709,16.42314695563352,45.45,50.0,33.33,16.67,0.45,0.5,1.64,698.6210418794687,33.267668660927086
55,2023-01-01,Group stage,24,16,Estadio Cívitas Metropolitano,6,0,1,0,0,0.0,100.0,0.0,0.0,0.0,44.44,75.0,0.0,25.0,0.44,0.75,1.89,677.9366700715015,30.815303185068252,20.0,33.33,33.33,33.33,0.2,0.33,1.0,377.1195097037794,16.39650042190345
