idPartido,Temporada,Ronda,Local,Visitante,Evento,GolesLocal,GolesVisitante,VictoriaLocal,Empate,VictoriaVisitante,%_Victorias_Local,%_Empate,%_Victoria_Visitante,%_Equipo1_Ganado,%_Equipo2_Ganado,%_1_G_Temporada,%_1_G_Temporada_L,%_1_E_Temporada_L,%_1_P_Temporada_L,1_Media_G,1_Media_G_Local,1_Media_Goles_PP,1_ValorJugadores,1_MediaJugadores,%_2_G_Temporada,%_2_G_Temporada_L,%_2_E_Temporada_L,%_2_P_Temporada_L,2_Media_G,2_Media_G_Local,2_Media_Goles_PP,2_ValorJugadores,2_MediaJugadores
49,2023-01-01,Group stage,14,307,Signal Iduna Park,2,0,1,0,0,0.0,0.0,100.0,100.0,0.0,36.36,40.0,60.0,0.0,0.36,0.4,1.18,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.2,0.0,
50,2023-01-01,Group stage,92,5,Volksparkstadion,1,0,1,0,0,57.14,0.0,42.86,28.57,71.43,40.0,50.0,0.0,50.0,0.4,0.5,1.8,0.0,,66.67,80.0,0.0,20.0,0.67,0.8,2.22,0.0,
51,2023-01-01,Group stage,15,67,Etihad Stadium,3,0,1,0,0,0.0,0.0,100.0,100.0,0.0,77.78,75.0,0.0,25.0,0.78,0.75,2.78,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.4,0.0,
52,2023-01-01,Group stage,12,191,Estádio Do Dragão,2,0,1,0,0,0.0,0.0,100.0,100.0,0.0,71.43,66.67,0.0,33.33,0.71,0.67,2.0,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.2,0.0,
53,2023-01-01,Group stage,20,68,Stadion Rajko Mitić,1,2,0,0,1,100.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,50.0,0.0,0.0,1.2,0.0,,42.86,50.0,0.0,50.0,0.43,0.5,1.71,0.0,
54,2023-01-01,Group stage,2,28,Stadio Giuseppe Meazza,2,1,1,0,0,100.0,0.0,0.0,0.0,100.0,20.0,0.0,50.0,50.0,0.2,0.0,0.6,0.0,,45.45,50.0,33.33,16.67,0.45,0.5,1.64,0.0,
55,2023-01-01,Group stage,24,16,Estadio Cívitas Metropolitano,6,0,1,0,0,0.0,100.0,0.0,0.0,0.0,44.44,75.0,0.0,25.0,0.44,0.75,1.89,0.0,,20.0,33.33,33.33,33.33,0.2,0.33,1.0,0.0,
56,2023-01-01,Group stage,99,22,Stadio Olimpico,1,0,1,0,0,100.0,0.0,0.0,0.0,100.0,42.86,66.67,33.33,0.0,0.43,0.67,1.0,0.0,,40.0,66.67,0.0,33.33,0.4,0.67,1.8,0.0,
57,2023-01-01,Group stage,69,10,Reale Arena,3,1,1,0,0,0.0,0.0,100.0,100.0,0.0,28.57,0.0,66.67,33.33,0.29,0.0,0.71,0.0,,20.0,0.0,33.33,66.67,0.2,0.0,1.2,0.0,
58,2023-01-01,Group stage,90,470,Stadio Diego Armando Maradona,1,1,0,1,0,0.0,0.0,100.0,100.0,0.0,42.86,33.33,33.33,33.33,0.43,0.33,1.57,0.0,,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,
59,2023-01-01,Group stage,31,80,Arsenal Stadium,2,0,1,0,0,66.67,0.0,33.33,66.67,33.33,33.33,50.0,25.0,25.0,0.33,0.5,1.89,0.0,,0.0,0.0,33.33,66.67,0.0,0.0,1.4,0.0,
60,2023-01-01,Group stage,21,328,Philips Stadion,1,0,1,0,0,0.0,100.0,0.0,0.0,0.0,14.29,0.0,100.0,0.0,0.14,0.0,1.14,0.0,,40.0,66.67,33.33,0.0,0.4,0.67,1.2,0.0,
61,2023-01-01,Group stage,184,7,Red Bull Arena,0,1,0,0,1,100.0,0.0,0.0,0.0,100.0,20.0,0.0,0.0,100.0,0.2,0.0,0.8,0.0,,57.14,75.0,25.0,0.0,0.57,0.75,1.29,0.0,
62,2023-01-01,Group stage,153,8,Parken,4,3,1,0,0,100.0,0.0,0.0,33.33,66.67,14.29,33.33,0.0,66.67,0.14,0.33,0.86,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.8,0.0,
63,2023-01-01,Group stage,3,50,Allianz Arena,2,1,1,0,0,0.0,0.0,100.0,100.0,0.0,54.55,60.0,40.0,0.0,0.55,0.6,1.45,0.0,,20.0,0.0,66.67,33.33,0.2,0.0,1.8,0.0,
64,2023-01-01,Group stage,1,308,Estadio Santiago Bernabéu,3,0,1,0,0,0.0,0.0,100.0,100.0,0.0,63.64,40.0,60.0,0.0,0.64,0.4,1.73,0.0,,20.0,0.0,33.33,66.67,0.2,0.0,1.2,0.0,
65,2023-01-01,Group stage,99,16,Stadio Olimpico,2,0,1,0,0,0.0,0.0,100.0,100.0,0.0,42.86,66.67,33.33,0.0,0.43,0.67,0.86,0.0,,20.0,33.33,33.33,33.33,0.2,0.33,1.0,0.0,
66,2023-01-01,Group stage,92,191,Volksparkstadion (1953),1,0,1,0,0,0.0,0.0,100.0,100.0,0.0,40.0,50.0,0.0,50.0,0.4,0.5,1.8,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.2,0.0,
67,2023-01-01,Group stage,15,68,Etihad Stadium,3,2,1,0,0,60.0,20.0,20.0,60.0,20.0,77.78,75.0,0.0,25.0,0.78,0.75,2.78,0.0,,57.14,50.0,0.0,50.0,0.57,0.5,1.71,0.0,
68,2023-01-01,Group stage,2,14,Stadio Giuseppe Meazza,1,3,0,0,1,0.0,100.0,0.0,0.0,0.0,40.0,50.0,50.0,0.0,0.4,0.5,0.8,0.0,,36.36,50.0,50.0,0.0,0.36,0.5,1.09,0.0,
69,2023-01-01,Group stage,28,307,Parc des Princes,1,1,0,1,0,100.0,0.0,0.0,0.0,100.0,45.45,60.0,20.0,20.0,0.45,0.6,1.64,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.0,0.0,
70,2023-01-01,Group stage,22,24,Stadion Feijenoord,1,3,0,0,1,100.0,0.0,0.0,0.0,100.0,40.0,100.0,0.0,0.0,0.4,1.0,1.6,0.0,,44.44,80.0,0.0,20.0,0.44,0.8,2.22,0.0,
71,2023-01-01,Group stage,67,20,Stadion Wankdorf,2,0,1,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,,0.0,0.0,33.33,66.67,0.0,0.0,1.4,0.0,
72,2023-01-01,Group stage,5,12,Estadi Olímpic Lluís Companys,2,1,1,0,0,0.0,0.0,100.0,100.0,0.0,55.56,75.0,0.0,25.0,0.56,0.75,2.0,0.0,,85.71,75.0,0.0,25.0,0.86,0.75,2.14,0.0,
